代碼,公司,年,現金股利率,流動資產,流動負債,資產總額,固定資產,無形資產,其他資產,本期產生現金流量,財務槓桿度,營業費用─研究發展,市值(百萬元),負債總額
code,name,year,dividend,ca,cl,asset,fasset,iasset,oasset,cf,leverage,rnd,mv,lia
1471,首利,2010,0,1920893,1186189,4038992,259783,0,123078,13839,.,12485,4049,1188956
1471,首利,2009,0,2474236,1722049,4347379,346164,0,2448,120972,1.09,10417,6785,1725069
1471,首利,2008,0,1616412,946362,2947780,361172,0,3546,-211546,0.46,14882,1423,962500
1471,首利,2007,0,2751542,1574485,3824040,421324,0,7246,125592,1.95,22413,4100,1581066
1471,首利,2006,0,2410547,1646317,3280039,307928,0,12536,245769,.,18933,5090,1653366
1582,信錦,2010,7.12,544965,1162487,5047033,122255,369921,392447,30668,1.17,75641,6686,1550099
1582,信錦,2009,5.34,448429,818543,5081803,125693,370783,425221,31180,0.91,50522,11439,1266572
1582,信錦,2008,6.96,381949,314075,4283880,142881,370971,413214,55832,0.97,29004,5825,729532
1582,信錦,2007,5.41,561690,129512,1692687,131718,13274,16849,6413,1.89,20857,4606,288739
1582,信錦,2006,3.41,437694,287862,1061815,49350,10737,15245,-40409,1.02,17299,,377454
2059,川湖,2010,3.73,2751240,381312,5261653,498402,1427,6744,257438,1.06,69430,13587,1687488
2059,川湖,2009,2.89,2615516,1254566,4973611,545260,1827,6281,356802,1.04,85251,15162,1742737
2059,川湖,2008,3.41,2320070,465800,4037199,594288,0,4841,565083,1.03,77380,6908,1380295
2059,川湖,2007,2.2,1816168,362644,3462615,597529,2256,8318,37741,1.03,43982,13536,1276670
2059,川湖,2006,2.11,1443775,350735,2108689,620316,2103,8363,255903,1,31714,11141,401752
2301,光寶科,2010,7.06,39611328,35332624,116127765,5625858,656287,883125,124779,1.55,1292289,91620,47781202
2301,光寶科,2009,4.62,38700140,32874130,112748592,6010989,701763,942800,-516237,1.21,1047373,108706,48505530
2301,光寶科,2008,6.44,32989688,29423246,104712477,3170224,132986,460025,4965628,2.05,1274662,47857,46922068
2301,光寶科,2007,5.21,47423492,43488780,119656140,3522541,132986,581833,-19481623,1.3,1764450,123400,58063349
2301,光寶科,2006,5.45,60356002,39708265,105707970,3257387,132986,738791,184789,1.19,1974739,128102,42757014
2302,麗正,2010,0.66,137073,277504,2300359,910879,0,1096,-52,1.14,1580,1190,516307
